Sample,Lab ID,Class,Individual,Bundle No.,Period,Event ID,Priority,Selected,Bear No.,,#G,#U,Left,U/L,Comments,,Loci,CXX20,G1D,G10M,MSUT2,MU50,G10X,G10P,REN144 A06,G1A,G10C,D1A,G10J,G10L,CPH9,CXX110,D123,MU26,G10U,MU59,REN145 P07,G10B,MU23,G10H,Sex
132-104-02,277,sample,0056,132,3,104-02,1,1,,,10,,C,L,1st envelope, ,8,123.137,176.186,214.218,205.207,134.136,133.147,,,,,157.179,,,,,,,,,,,,,250.250
132-104-03,278,sample,0056,132,3,104-03,2,1,,,,30,A,U,, ,8,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,141.145,,,,,,,,250.250
92-3-3,962,sample,0056,211,3,92-03,4,1,,,10,,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
8-92-04,72,sample,0056,8,3,92-04,2,1,,,10,,A,L,, ,24,123.137,176.186,214.218,205.207,134.136,133.147,163.163,129.129,194.194,209.215,157.179,207.211,137.159,143.149,155.159,141.145,183.185,179.181,233.237,157.157,156.158,203.207,239.241,250.250
140-92-05,292,sample,0056,140,3,92-05,1,1,,,10,,A,L,1st envelope, ,8,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,239.241,250.250
230-92-06,461,sample,0056,230,3,92-06,3,1,,,5,,C,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
381-92-07,735,sample,0056,381,3,92-07,3,1,,,10,,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
92-3-8,829,sample,0056,69,3,92-08,4,1,,,10,,B,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
92-3-11,922,sample,0056,170,3,92-11,4,1,,,10,,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
92-3-13,765,sample,0056,2,3,92-13,4,1,,,3,20,C,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
209-103-01,419,sample,0056,209,4,103-01,2,1,,,,30,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
111-103-02,1044,sample,0056,111,4,103-02,3,2,,,,30,A,U,2nd envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
209-103-03,418,sample,0056,209,4,103-03,1,1,,,10,,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
209-103-04,420,sample,0056,209,4,103-04,3,1,,,10,,A,U,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
375-104-02,1091,sample,0056,375,4,104-02,2,2,,,,20,C,U,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
203-113-01,1108,sample,0056,203,4,113-01,2,3,,,5,,C,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
203-113-03,1062,sample,0056,203,4,113-03,3,2,,,10,,A,U,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
150-113-04,311,sample,0056,150,4,113-04,3,,,,10,,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
204-114-01,409,sample,0056,204,4,114-01,1,1,,,10,,B,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
114-4-2,959,sample,0056,208,4,114-02,4,1,,,10,,B,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
36-114-04,107,sample,0056,36,4,114-04,2,1,,,4,20,C,L,, ,8,123.137,176.186,214.218,205.207,134.136,133.147,,,194.194,,,,,,,,,,,,,,,250.250
204-114-05,410,sample,0056,204,4,114-05,2,1,,,10,,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
120-4-5,809,sample,0056,49,4,120-05,4,1,,,6,,C,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
120-4-12,819,sample,0056,59,4,120-12,4,1,,,,30,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
217-81-01,1064,sample,0056,217,4,81-01,2,2,,,10,,B,L,not sure if remaining hairs are from a bear, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
217-81-02,432,sample,0056,217,4,81-02,1,1,,,,30,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
184-81-04,375,sample,0056,184,4,81-04,2,1,,,10,,A,L,"only uf left, 1st envelope", ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
218-93-01,433,sample,0056,218,4,93-01,1,1,,,10,,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
93-4-3,1120,sample,0056,280,4,93-03,4,3,,,10,,A,L,2nd envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
103-5-1,904,sample,0056,150,5,103-01,4,1,,,10,,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
280-103-02,552,sample,0056,280,5,103-02,1,1,,,,30,C,U,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
358-103-04,692,sample,0056,358,5,103-04,2,1,,,10,,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
64-103-09,1041,sample,0056,64,5,103-09,3,2,,,,20,C,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
280-103-10,553,sample,0056,280,5,103-10,2,1,,,10,,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
103-5-11,800,sample,0056,40,5,103-11,4,1,,,10,,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
279-104-02,1074,sample,0056,279,5,104-02,3,2,,,,30,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
279-104-03,551,sample,0056,279,5,104-03,2,1,,,10,,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
279-104-04,550,sample,0056,279,5,104-04,1,1,,,,30,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
396-113-02,758,sample,0056,396,5,113-02,2,1,,,10,,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
281-113-04,555,sample,0056,281,5,113-04,1,1,,,6,,C,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
120-5-1,881,sample,0056,126,5,120-01,4,1,,,10,,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
120-5-2,941,sample,0056,189,5,120-02,4,1,,,,20,C,L,coarse underfur, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
277-120-06,546,sample,0056,277,5,120-06,1,1,,,10,,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
277-120-07,547,sample,0056,277,5,120-07,2,1,,,10,,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
36-120-08,108,sample,0056,36,5,120-08,3,1,,,10,,A,L,, ,8,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,137.159,,,,,,,,,,,250.250
102-6-2,991,sample,0056,241,6,102-02,4,2,,,5,,C,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
370-102-03,714,sample,0056,370,6,102-03,2,1,,,10,,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
370-102-04,715,sample,0056,370,6,102-04,3,1,,,10,,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
370-102-05,713,sample,0056,370,6,102-05,1,1,,,5,,C,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
375-104-01,723,sample,0056,375,6,104-01,1,1,,,,20,C,U,2nd envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
374-114-05,721,sample,0056,374,6,114-05,1,1,,,10,,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
0056,100,sample,0056,,,,,,,,10,,A,,female collared bear, ,24,123.137,176.186,214.218,205.207,134.136,133.147,163.163,129.129,194.194,209.215,157.179,207.211,137.159,143.149,155.159,141.145,183.185,179.181,233.237,157.157,156.158,203.207,239.241,250.250
1435,99,sample,1435,,,,,,,,10,,A,,female collared bear, ,24,123.123,172.186,208.214,205.209,132.136,147.149,163.163,125.129,194.196,215.215,167.179,187.211,137.141,143.149,155.159,143.145,185.199,175.179,233.243,157.167,156.158,187.203,241.253,250.250
3-14-02,69,sample,2213,3,1,14-02,2,1,,,,20,C,L,, ,10,135.139,174.184,206.216,197.205,120.132,141.145,153.157,,,,,87.89.203,137.137,,,,,,231.241,,,,241.53,250.250
14-1-5,927,sample,2213,175,1,14-05,4,1,,,,20,C,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
14-1-9,804,sample,2213,44,1,14-09,4,1,,,,30,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
3-14-10,3,sample,2213,3,1,14-10,1,1,,,10,,A,L,, ,24,135.139,174.184,206.216,197.205,120.132,141.145,153.157,121.121,198.198,205.213,157.163,187.203,137.137,143.149,137.159,145.155,185.195,179.181,231.241,157.159,156.160,189.203,241.253,250.250
185-26-04,376,sample,2213,185,1,26-04,2,1,,,10,,A,L,1st envelope, ,12,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,187.203,,,137.159,145.155,,179.181,,157.159,,,,250.250
26-1-7,805,sample,2213,45,1,26-07,4,1,,,,30,A,L,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
26-1-10,827,sample,2213,67,1,26-10,4,1,,,,30,C,U,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
351-26-11,1087,sample,2213,351,1,26-11,2,2,,,10,,A,U,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
26-1-12,932,sample,2213,180,1,26-12,4,1,,,,30,C,L,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
26-1-13,792,sample,2213,31,1,26-13,4,1,,,7,,C,L,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
5-26-15,5,sample,2213,5,1,26-15,1,1,,,3,20,C,L,, ,12,135.139,174.184,206.216,197.205,120.132,141.145,153.157,,,,,187.203,137.137,,,,,,231.241,,,,241.253,250.250
354-26-16,683,sample,2213,354,1,26-16,3,1,,,,30,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
264-26-17,523,sample,2213,264,1,26-17,3,1,,,,30,C,L,2nd envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
26-1-23,797,sample,2213,36,1,26-23,4,1,,,,30,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
26-1-26,793,sample,2213,32,1,26-26,4,1,,,,30,A,U,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
2-71-01,2,sample,2213,2,1,71-01,1,1,,,10,,A,L,2nd envelope in group, ,12,135.139,174.184,206.216,197.205,120.132,141.145,153.157,,,,,187.203,137.137,,,,,,231.241,,,,241.253,250.250
44-14-04,44,sample,2213,44,2,14-04,1,1,,,10,,A,L,, ,12,135.139,174.184,206.216,197.205,120.132,141.145,153.157,,,,,187.203,137.137,,,,,,231.241,,,,241.253,250.250
239-14-05,478,sample,2213,239,2,14-05,3,1,,,,20,C,U,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
43-15-05,114,sample,2213,43,2,15-05,2,1,,,,20,C,U,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
42-24-01,42,sample,2213,42,2,24-01,1,1,,,10,,A,L,2nd envelope, ,12,135.139,174.184,206.216,197.205,120.132,141.145,153.157,,,,,187.203,137.137,,,,,,231.241,,,,241.253,250.250
42-24-03,113,sample,2213,42,2,24-03,3,1,,,10,,A,L,2nd envelop, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
266-26-07,1070,sample,2213,266,2,26-07,3,2,,,8,,C,L,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
34-2-2,838,sample,2213,79,2,34-02,4,1,,,10,,A,U,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
38-34-08,38,sample,2213,38,2,34-08,1,1,,,3,,C,L,no roots on remaining  hairs , ,12,135.139,174.184,206.216,197.205,120.132,141.145,153.157,,,,,187.203,137.137,,,,,,231.241,,,,241.253,250.250
34-2-11,906,sample,2213,153,2,34-11,4,1,,,,30,C,L,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
34-2-12,887,sample,2213,132,2,34-12,4,1,,,9,,C,L,not many hairs with roots, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
35-2-1,1016,sample,2213,267,2,35-01,4,2,,,,30,C,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
35-2-2,1027,sample,2213,278,2,35-02,4,2,,,,30,A,L,"coarse underfur, tiny roots", ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
40-35-04,40,sample,2213,40,2,35-04,1,1,,,10,,A,L,, ,12,135.139,174.184,206.216,197.205,120.132,141.145,153.157,,,,,187.203,137.137,,,,,,231.241,,,,241.253,250.250
35-2-6,958,sample,2213,207,2,35-06,4,1,,,,20,C,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
35-2-8,847,sample,2213,89,2,35-08,4,1,,,,30,A,L,weird coarse underfur, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
40-35-09,112,sample,2213,40,2,35-09,3,1,,,,30,A,L,"coarse underfur, not sure about roots", ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
39-36-05,39,sample,2213,39,2,36-05,1,1,,,10,,A,L,, ,12,135.139,174.184,206.216,197.205,120.132,141.145,153.157,,,,,187.203,137.137,,,,,,231.241,,,,241.253,250.250
384-36-06,739,sample,2213,384,2,36-06,1,1,,,,30,C,U,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
271-36-12,535,sample,2213,271,2,36-12,3,1,,,,20,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
60-2-5,918,sample,2213,165,2,60-05,4,1,,,,30,A,L,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
100-14-02,216,sample,2213,100,3,14-02,1,1,,,6,20,A,L,uf left, ,8,135.139,174.184,206.216,197.205,120.132,141.145,,,,205.213,,,,,,,,,,,,,,250.250
48-14-04,121,sample,2213,48,3,14-04,2,1,,,1,30,C,U,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
365-14-06,705,sample,2213,365,3,14-06,3,1,,,,30,A,U,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
100-14-08,217,sample,2213,100,3,14-08,2,1,,,10,,A,U,"mostly uf left, 1st envelope", ,8,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,156.160,,,250.250
104-25-01,224,sample,2213,104,3,25-01,3,1,,,,30,B,L,, ,8,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,231.241,,,,,250.250
104-25-02,223,sample,2213,104,3,25-02,2,,,,,30,A,L,, ,8,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,179.181,,,,,,250.250
102-26-02,219,sample,2213,102,3,26-02,2,1,,,,20,C,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
106-34-04,226,sample,2213,106,3,34-04,1,1,,,10,,A,U,, ,8,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,137.159,,,,,,,,,250.250
95-34-07,204,sample,2213,95,3,34-07,3,1,,,10,,B,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
105-35-03,1043,sample,2213,105,3,35-03,2,2,,,,30,A,L,coarse underfur, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
36-3-2,988,sample,2213,238,3,36-02,4,2,,,10,,A,L,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
103-36-07,1105,sample,2213,103,3,36-07,2,3,,,,30,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
36-3-8,776,sample,2213,14,3,36-08,4,1,,,,30,A,U,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
46-3-3,923,sample,2213,171,3,46-03,4,1,,,,30,A,L,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
96-46-08,207,sample,2213,96,3,46-08,3,1,,,,30,A,L,, ,8,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,143.149,,,,,,,,,,250.250
167-14-03,339,sample,2213,167,4,14-03,1,1,,,10,,A,U,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
169-26-03,344,sample,2213,169,4,26-03,2,1,,,,30,A,U,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
33-4-4,984,sample,2213,234,4,33-04,4,1,,,,30,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
393-33-05,1095,sample,2213,393,4,33-05,1,2,,,,30,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
174-33-06,355,sample,2213,174,4,33-06,2,1,,,,30,A,L,coarse underfur, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
34-4-7,837,sample,2213,78,4,34-07,4,1,,,,30,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
34-4-8,928,sample,2213,176,4,34-08,4,1,,,,30,B,L,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
172-34-13,350,sample,2213,172,4,34-13,1,1,,,10,,A,L,34-1 is in this bundle too, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
46-4-10,1019,sample,2213,270,4,46-10,4,2,,,,30,C,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
57-46-11,130,sample,2213,57,4,46-11,3,1,,,,30,C,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
391-46-13,752,sample,2213,391,4,46-13,3,1,,,,30,B,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
163-59-02,331,sample,2213,163,4,59-02,1,1,,,10,,B,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
60-4-1,943,sample,2213,191,4,60-01,4,1,,,3,30,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
60-4-9,786,sample,2213,25,4,60-09,4,1,,,,30,A,U,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
60-4-11,889,sample,2213,134,4,60-11,4,1,,,1,20,C,U,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
71-4-2,910,sample,2213,157,4,71-02,4,1,,,,30,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
162-71-03,1050,sample,2213,162,4,71-03,3,2,,,10,,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
348-71-09,672,sample,2213,348,4,71-09,3,1,,,,30,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
72-4-4,1007,sample,2213,257,4,72-04,4,2,,,,30,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
73-72-06,157,sample,2213,73,4,72-06,2,1,,,,30,A,L,"1st envelope, coarse blonde underfur", ,8,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,185.195,,,,,,,250.250
224-72-08,450,sample,2213,224,4,72-08,3,1,,,,30,A,L,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
246-14-01,490,sample,2213,246,5,14-01,3,1,,,,20,C,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
245-15-04,1112,sample,2213,245,5,15-04,3,3,,,10,,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
247-24-01,492,sample,2213,247,5,24-01,2,1,,,10,,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
247-24-02,493,sample,2213,247,5,24-02,3,1,,,10,,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
247-24-03,491,sample,2213,247,5,24-03,1,1,,,10,,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
244-33-06,487,sample,2213,244,5,33-06,3,1,,,10,,B,L,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
34-5-2,789,sample,2213,28,5,34-02,4,1,,,,30,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
68-34-03,146,sample,2213,68,5,34-03,3,1,,,,30,C,,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
249-35-01,496,sample,2213,249,5,35-01,1,1,,,,20,C,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
149-46-03,310,sample,2213,149,5,46-03,3,1,,,6,10,C,L,1st envelope, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
220-46-05,441,sample,2213,220,5,46-05,3,1,,,,30,A,L,this bundle had 46-06 in it too, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
60-5-1,864,sample,2213,108,5,60-01,4,1,,,10,,A,L,, ,7,135.139,174.184,206.216,197.205,120.132,141.145,,,,,,,,,,,,,,,,,,250.250
